text,sim_Morris,sim_SRD,delta
"The central area of Grand Amphitheater Ruins, where paths co",0.8498969,0.8628676,-0.012970686
"The outer edges of Grand Amphitheater Ruins, where the devel",0.86475044,0.878666,-0.013915539
"The central area of Astral Projection Circle, where paths co",0.8341914,0.8822582,-0.048066795
"The outer edges of Astral Projection Circle, where the devel",0.84705067,0.9002351,-0.05318445
"The primary thoroughfare of Crossroads Settlement, where mos",0.6885257,0.6893393,-0.0008136034
"Where multiple roads meet, marked by an old stone milestone.",0.871006,0.85340345,0.017602563
"A simple building that serves multiple purposes - part inn, ",0.87820804,0.88745993,-0.009251893
"The massive gates of Shattered Crystal City, where travelers",0.8677556,0.8744793,-0.006723702
"The heart of the city, where all the major streets converge ",0.8335697,0.8227,0.010869682
A vast marketplace where goods from across the known world a,0.8673025,0.87743664,-0.0101341605
Where the city's citizens live in buildings ranging from mod,0.8108856,0.7896795,0.02120608
Massive fortifications that protect the city from external t,0.77113295,0.8162832,-0.04515028
Where ships from distant ports dock to unload their cargoes.,0.7595302,0.7945775,-0.035047293
"The central area of Abandoned Demon Circle, where paths conv",0.8649429,0.8851909,-0.020247996
"The outer edges of Abandoned Demon Circle, where the develop",0.8733135,0.8951386,-0.021825135
"The central area of Dream Realm Gateway, where paths converg",0.8458786,0.8687222,-0.0228436
"The outer edges of Dream Realm Gateway, where the developed ",0.8617686,0.8867301,-0.024961472
"The central area of Sacred Grove of Earth Mother, where path",0.87399244,0.88265175,-0.008659303
"The outer edges of Sacred Grove of Earth Mother, where the d",0.88690686,0.8959404,-0.009033561
"The central area of Elemental Convergence Point, where paths",0.8366169,0.87924707,-0.042630196
"The outer edges of Elemental Convergence Point, where the de",0.84962046,0.8966236,-0.04700315
"The central area of Elemental Fire Portal, where paths conve",0.83597636,0.8774879,-0.041511536
"The outer edges of Elemental Fire Portal, where the develope",0.85963184,0.9059201,-0.046288252
"The central area of Feywild Crossing, where paths converge a",0.83036304,0.85690796,-0.026544929
"The outer edges of Feywild Crossing, where the developed are",0.8496661,0.8790738,-0.02940768
"The central area of Fallen Floating Islands, where paths con",0.8525959,0.8777703,-0.02517438
"The outer edges of Fallen Floating Islands, where the develo",0.8660004,0.8934116,-0.027411163
"The central area of Titans Fortress Ruins, where paths conve",0.84942055,0.86472714,-0.015306592
"The outer edges of Titans Fortress Ruins, where the develope",0.85975355,0.87620753,-0.016453981
"The central area of Gravity Anomaly Field, where paths conve",0.8429318,0.8900751,-0.04714328
"The outer edges of Gravity Anomaly Field, where the develope",0.8529108,0.9046917,-0.05178088
"The massive gates of Aethermoon Lost Elven City, where trave",0.8598593,0.86087096,-0.0010116696
"The heart of the city, where all the major streets converge ",0.8335697,0.8227,0.010869682
A vast marketplace where goods from across the known world a,0.8673025,0.87743664,-0.0101341605
Where the city's citizens live in buildings ranging from mod,0.8108856,0.7896795,0.02120608
Massive fortifications that protect the city from external t,0.77113295,0.8162832,-0.04515028
Where ships from distant ports dock to unload their cargoes.,0.7595302,0.7945775,-0.035047293
"The central area of Eye of the Magic Storm, where paths conv",0.8640561,0.89181936,-0.027763247
"The outer edges of Eye of the Magic Storm, where the develop",0.87813354,0.90836823,-0.030234694
"The central area of Highland Mining Camp, where paths conver",0.8338517,0.84824073,-0.014389038
"The outer edges of Highland Mining Camp, where the developed",0.8549329,0.87055606,-0.015623152
"The central area of Ashfall Old Kingdom Capital, where paths",0.84908175,0.8626957,-0.013613939
"The outer edges of Ashfall Old Kingdom Capital, where the de",0.87309563,0.8878297,-0.014734089
"The massive gates of Quarantine City Ruins, where travelers ",0.8466176,0.85075986,-0.0041422844
"The heart of the city, where all the major streets converge ",0.8335697,0.8227,0.010869682
A vast marketplace where goods from across the known world a,0.8673025,0.87743664,-0.0101341605
Where the city's citizens live in buildings ranging from mod,0.8108856,0.7896795,0.02120608
Massive fortifications that protect the city from external t,0.77113295,0.8162832,-0.04515028
Where ships from distant ports dock to unload their cargoes.,0.7595302,0.7945775,-0.035047293
"The central area of Shadowfell Breach, where paths converge ",0.838961,0.8705467,-0.031585693
"The outer edges of Shadowfell Breach, where the developed ar",0.86290115,0.89824677,-0.035345614
"The central area of Zone of Eternal Silence, where paths con",0.85163826,0.87399805,-0.022359788
"The outer edges of Zone of Eternal Silence, where the develo",0.87347245,0.8980133,-0.024540842
"The massive gates of Fallen Sky City, where travelers first ",0.8749925,0.87653697,-0.0015444756
"The heart of the city, where all the major streets converge ",0.8335697,0.8227,0.010869682
A vast marketplace where goods from across the known world a,0.8673025,0.87743664,-0.0101341605
Where the city's citizens live in buildings ranging from mod,0.8108856,0.7896795,0.02120608
Massive fortifications that protect the city from external t,0.77113295,0.8162832,-0.04515028
Where ships from distant ports dock to unload their cargoes.,0.7595302,0.7945775,-0.035047293
"The central area of Storm Lords Altar, where paths converge ",0.8617136,0.878604,-0.016890407
"The outer edges of Storm Lords Altar, where the developed ar",0.88356304,0.9019666,-0.01840353
"The massive gates of Time-Lost City of Chronos, where travel",0.84712714,0.85544145,-0.0083143115
"The heart of the city, where all the major streets converge ",0.8335697,0.8227,0.010869682
A vast marketplace where goods from across the known world a,0.8673025,0.87743664,-0.0101341605
Where the city's citizens live in buildings ranging from mod,0.8108856,0.7896795,0.02120608
Massive fortifications that protect the city from external t,0.77113295,0.8162832,-0.04515028
Where ships from distant ports dock to unload their cargoes.,0.7595302,0.7945775,-0.035047293
"The central area of Temporal Rift Zone, where paths converge",0.81233406,0.85444796,-0.0421139
"The outer edges of Temporal Rift Zone, where the developed a",0.82657766,0.87314725,-0.046569586
"The central area of The Undead Necropolis, where paths conve",0.8283255,0.85262585,-0.024300337
"The outer edges of The Undead Necropolis, where the develope",0.8458804,0.87282443,-0.026944041
"The central area of Void Anomaly, where paths converge and a",0.84080696,0.87839884,-0.037591875
"The outer edges of Void Anomaly, where the developed area gi",0.8520134,0.89354384,-0.04153043
"The central area of Monument to the War God, where paths con",0.8656467,0.8754737,-0.009826958
"The outer edges of Monument to the War God, where the develo",0.89196634,0.9024645,-0.010498166
"The central area of Wild Magic Surge Zone, where paths conve",0.8545844,0.88133115,-0.02674675
"The outer edges of Wild Magic Surge Zone, where the develope",0.8721285,0.9013006,-0.029172122
"The central area of Collapsed Wizards Academy, where paths c",0.85132813,0.8685956,-0.017267466
"The outer edges of Collapsed Wizards Academy, where the deve",0.8717829,0.89061844,-0.018835545
"The main entrance to Thornfield Abandoned Manor, where visit",0.8140548,0.82163423,-0.007579446
"The primary room of the building, where its main functions t",0.81464803,0.86051935,-0.045871317
"The main entrance to Emergency Avalanche Shelter, where visi",0.8448021,0.87004393,-0.025241852
"The primary room of the building, where its main functions t",0.81464803,0.86051935,-0.045871317
"The main entrance to Master Blacksmiths Consortium, where vi",0.8033827,0.82638204,-0.022999346
"The primary room of the building, where its main functions t",0.81464803,0.86051935,-0.045871317
"The main entrance to Celestial Beacon Tower, where visitors ",0.81793225,0.85146916,-0.03353691
"The primary room of the building, where its main functions t",0.81464803,0.86051935,-0.045871317
"The blessed threshold of Temple in the Clouds, where pilgrim",0.75650346,0.7699825,-0.013479054
A soaring space filled with colored light from stained glass,0.75482756,0.775813,-0.020985425
"The holiest place within the structure, where divine ceremon",0.7616236,0.75027585,0.011347771
Stone steps lead down to hallowed burial chambers where holy,0.80347365,0.7604325,0.04304117
"The main entrance to Mausoleum of the Death God, where visit",0.8486217,0.8499968,-0.0013750792
"The primary room of the building, where its main functions t",0.81464803,0.86051935,-0.045871317
"The heart of The Golden Tankard Tavern, where travelers gath",0.8920986,0.8844601,0.007638514
A busy kitchen where hearty meals are prepared over an enorm,0.6980072,0.6718,0.026207209
Simple but clean rooms where weary travelers can rest. Narro,0.82926214,0.86177623,-0.032514095
Well-maintained stables where horses are fed and groomed. Th,0.79543793,0.7504933,0.044944644
Stone steps lead down to cool cellars where barrels of ale a,0.7766917,0.786747,-0.010055304
"The blessed threshold of Cathedral of the Light, where pilgr",0.7611578,0.7723787,-0.011220872
A soaring space filled with colored light from stained glass,0.75482756,0.775813,-0.020985425
"The holiest place within the structure, where divine ceremon",0.7616236,0.75027585,0.011347771
Stone steps lead down to hallowed burial chambers where holy,0.80347365,0.7604325,0.04304117
"The grand entrance to The Great Library of Millhaven, where ",0.8150214,0.8062184,0.00880301
A vast chamber filled with reading desks and comfortable cha,0.80399746,0.82352793,-0.019530475
"Towering shelves stretch from floor to ceiling, filled with ",0.8112935,0.85930663,-0.04801315
Behind locked doors lie the most dangerous and precious text,0.80300784,0.8155029,-0.012495041
"The main entrance to Hermits Cave Home, where visitors first",0.8506452,0.8523003,-0.0016551018
"The primary room of the building, where its main functions t",0.81464803,0.86051935,-0.045871317
"The grand entrance to Abandoned Library of Knowledge, where ",0.82156,0.82024425,0.0013157725
A vast chamber filled with reading desks and comfortable cha,0.80399746,0.82352793,-0.019530475
"Towering shelves stretch from floor to ceiling, filled with ",0.8112935,0.85930663,-0.04801315
Behind locked doors lie the most dangerous and precious text,0.80300784,0.8155029,-0.012495041
"The main meeting hall of Merchants Guildhall, where guild me",0.7143857,0.6736852,0.040700495
Where the guild's finest craftsmen demonstrate their skills ,0.78263223,0.8102387,-0.027606487
Administrative chambers where guild business is conducted. L,0.65782934,0.67590415,-0.01807481
"The blessed threshold of Moonlight Goddess Shrine, where pil",0.70988053,0.71454227,-0.004661739
A soaring space filled with colored light from stained glass,0.75482756,0.775813,-0.020985425
"The holiest place within the structure, where divine ceremon",0.7616236,0.75027585,0.011347771
