                  name                   |                                                                                                                              description                                                                                                                               
-----------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Grand Amphitheater Ruins Center         | The central area of Grand Amphitheater Ruins, where paths converge and activity is concentrated. This serves as the heart of the region, where travelers often stop to rest and gather information.
 Grand Amphitheater Ruins Outskirts      | The outer edges of Grand Amphitheater Ruins, where the developed area gives way to wilder lands. Roads and paths lead away to unknown destinations.
 Astral Projection Circle Center         | The central area of Astral Projection Circle, where paths converge and activity is concentrated. This serves as the heart of the region, where travelers often stop to rest and gather information.
 Astral Projection Circle Outskirts      | The outer edges of Astral Projection Circle, where the developed area gives way to wilder lands. Roads and paths lead away to unknown destinations.
 Main Street                             | The primary thoroughfare of Crossroads Settlement, where most of the settlement's buildings cluster. Merchants' stalls and craftsmen's workshops line the dusty road.
 The Crossroads                          | Where multiple roads meet, marked by an old stone milestone. Travelers pause here to decide their direction, and local folk gather to trade news and gossip.
 Waystation                              | A simple building that serves multiple purposes - part inn, part trading post, part meeting hall. Weary travelers find basic shelter and supplies here.
 City Gates                              | The massive gates of Shattered Crystal City, where travelers first encounter the power and wealth of this great urban center. Guards check papers and collect tolls, while merchants queue with their wagons.
 Central Plaza                           | The heart of the city, where all the major streets converge around a magnificent central square. Fountains, statues, and grand buildings create an impressive display of civic pride and power.
 Grand Market                            | A vast marketplace where goods from across the known world are bought and sold. The noise and activity are overwhelming, as thousands of people conduct business in the shadow of great commercial buildings.
 Residential Quarter                     | Where the city's citizens live in buildings ranging from modest apartments to grand townhouses. The streets are busy with the daily activities of urban life - commerce, craft, and community.
 City Walls                              | Massive fortifications that protect the city from external threats. Guard towers and battlements provide commanding views of the surrounding countryside, while gates control access to the urban center.
 Harbor District                         | Where ships from distant ports dock to unload their cargoes. The air is filled with the sounds and smells of maritime trade, while sailors, merchants, and dock workers create a colorful and sometimes dangerous atmosphere.
 Abandoned Demon Circle Center           | The central area of Abandoned Demon Circle, where paths converge and activity is concentrated. This serves as the heart of the region, where travelers often stop to rest and gather information.
 Abandoned Demon Circle Outskirts        | The outer edges of Abandoned Demon Circle, where the developed area gives way to wilder lands. Roads and paths lead away to unknown destinations.
 Dream Realm Gateway Center              | The central area of Dream Realm Gateway, where paths converge and activity is concentrated. This serves as the heart of the region, where travelers often stop to rest and gather information.
